locus_tag,log2FoldChange,start,end,gene_length,padj,COG_category,Preferred_name,PFAMs
OOFNCCCI_00093,1.02075411,117041,117934,893,4.71E-08,S,NA,HEPN
OOFNCCCI_00094,1.183052435,118158,118559,401,1.41E-06,NA,NA,NA
OOFNCCCI_00095,1.153354447,119457,120035,578,1.85E-07,J,NA,Acetyltransf_3
OOFNCCCI_00096,0.421958351,120739,121131,392,0.231322066,S,NA,ASCH
OOFNCCCI_00097,0.916841142,121284,121862,578,6.22E-06,T,NA,cNMP_binding
OOFNCCCI_00098,0.610902531,122274,122843,569,0.007250773,T,NA,cNMP_binding
OOFNCCCI_00099,0.342430315,122840,123334,494,0.246195968,NA,NA,NA
OOFNCCCI_00100,0.924034032,123767,124129,362,0.00458217,K,NA,HTH_3
OOFNCCCI_00101,1.224904129,124119,124769,650,0.000570275,S,NA,AbiEii
OOFNCCCI_00103,0.3755151,124944,126002,1058,0.158878327,M,NA,"Peptidase_S41,Tricorn_C1"
OOFNCCCI_00104,0.119628847,126013,126882,869,0.869772743,S,NA,DUF3316
OOFNCCCI_00105,-0.018245247,126886,129609,2723,0.956198977,L,parC,DNA_topoisoIV
OOFNCCCI_00106,0.139842933,129768,130967,1199,0.721543432,E,ilvA,PALP
OOFNCCCI_00107,0.289731566,131082,132800,1718,0.288986688,M,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00108,-0.057088448,132814,135858,3044,0.839639016,P,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_00109,0.360624828,136096,136479,383,0.609412531,K,NA,HTH_3
OOFNCCCI_00110,-0.88788048,136691,136858,167,0.746319069,K,NA,HTH_3
OOFNCCCI_00111,0.348350856,136855,140016,3161,0.0809297,G,NA,"CBM-like,Glyco_hydro_92"
OOFNCCCI_00112,0.096757139,140246,142486,2240,0.757794677,P,NA,CarbopepD_reg_2
OOFNCCCI_00113,0.452859202,142742,144625,1883,0.033271442,K,NA,"GerE,PAS_4,PAS_9"
OOFNCCCI_00114,0.381713316,144812,146119,1307,0.109352385,S,NA,"ATPase_2,DUF234"
OOFNCCCI_00115,0.373005274,146164,146760,596,0.164738365,L,NA,NA
OOFNCCCI_00116,-0.166128174,147197,148633,1436,0.536617561,S,NA,GFO_IDH_MocA
OOFNCCCI_00117,0.488372273,148759,149313,554,0.021829552,S,NA,Flavodoxin_2
OOFNCCCI_00118,0.09735621,149893,153183,3290,0.702821634,P,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_00119,0.080308969,153200,154861,1661,0.756623273,S,NA,"SusD-like,SusD-like_2"
OOFNCCCI_00120,-0.013294453,155935,157479,1544,0.970813799,J,glyQS,"HGTP_anticodon,tRNA-synt_2b"
OOFNCCCI_00121,0.032111754,157484,158086,602,0.949570128,M,NA,FKBP_C
OOFNCCCI_00122,-0.035784602,158526,160868,2342,0.905421396,G,NA,CBM_35
OOFNCCCI_00123,-0.304774282,161033,162610,1577,0.178551586,M,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00124,-0.006708069,162632,165724,3092,0.985511897,P,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_00125,0.099756633,165746,167743,1997,0.733970864,G,NA,CBM_35
OOFNCCCI_00126,0.076257257,167767,169971,2204,0.799402536,G,NA,"Glyco_hydro_36C,Glyco_hydro_36N,Melibiase"
OOFNCCCI_00127,0.547998747,170150,171370,1220,0.013874336,NA,NA,NA
OOFNCCCI_00128,-5.932677839,171502,171693,191,0.293957081,NA,NA,NA
OOFNCCCI_00129,-0.068668405,171671,172477,806,0.915568635,KT,NA,LytTR
OOFNCCCI_00130,0.655957297,172480,173229,749,0.011104256,S,NA,DUF2154
OOFNCCCI_00131,0.30777281,173635,174219,584,0.315309279,S,ykgB,DUF417
OOFNCCCI_00132,0.244610357,174397,175611,1214,0.284066119,S,NA,"Fer4_14,Radical_SAM"
OOFNCCCI_00133,0.814219324,175852,176697,845,6.76E-08,K,NA,HTH_18
OOFNCCCI_00134,0.033630309,176996,177751,755,0.935302968,C,frdB,"Fer2_3,Fer4_7,Fer4_8"
OOFNCCCI_00135,0.203599758,177779,179722,1943,0.340140364,C,sdhA,"FAD_binding_2,Succ_DH_flav_C"
OOFNCCCI_00136,-0.483504024,179756,180481,725,0.107770883,S,sdhC,Sdh_cyt
OOFNCCCI_00137,0.52166632,180720,182117,1397,0.010597087,I,NA,"OMP_b-brl,PAP2"
OOFNCCCI_00138,0.173529992,182121,183944,1823,0.574326331,S,NA,"DUF4962,Hepar_II_III"
OOFNCCCI_00139,0.622917489,184089,185207,1118,0.618614918,L,NA,"DEDD_Tnp_IS110,Transposase_20"
OOFNCCCI_00140,0.909944117,186398,186874,476,2.65E-05,S,NA,Pyridox_ox_2
OOFNCCCI_00141,0.536314474,186895,187365,470,0.549225799,NA,NA,NA
OOFNCCCI_00142,-0.193703757,187424,188323,899,0.695734248,E,cysE,"Hexapep,SATase_N"
OOFNCCCI_00143,0.065221311,188349,189947,1598,0.821826881,L,rlmL,"THUMP,UPF0020"
OOFNCCCI_00144,0.260477082,189931,192147,2216,0.206331565,E,pepX2,"DPPIV_N,Peptidase_S9"
OOFNCCCI_00145,0.165146678,192276,193544,1268,0.506567651,F,purD,"GARS_A,GARS_C,GARS_N"
OOFNCCCI_00146,0.481361896,193697,194554,857,0.186832451,S,NA,NA
OOFNCCCI_00147,1.069483792,194539,194988,449,0.544424073,S,NA,SNARE_assoc
OOFNCCCI_00148,0.073582539,195004,195720,716,0.915035443,S,NA,DUF5036
OOFNCCCI_00149,0.204376464,195769,197058,1289,0.439475476,S,NA,Peptidase_S37
OOFNCCCI_00150,-0.2006664,197520,198080,560,0.685493845,C,queG,"DUF1730,Fer4_16"
OOFNCCCI_00151,0.224209564,198129,198740,611,0.792705095,G,pgdA_1,Polysacc_deac_1
OOFNCCCI_00152,0.333945729,198744,201962,3218,0.189579394,EG,NA,DUF2723
OOFNCCCI_00153,0.907759196,202218,203486,1268,0.000350976,S,NA,"AAA_14,DUF4143"
OOFNCCCI_00154,0.880381278,203782,204492,710,5.02E-05,NA,NA,NA
OOFNCCCI_00155,-6.991624275,204640,204732,92,0.144903938,NA,NA,NA
OOFNCCCI_00156,2.534764174,204819,205163,344,5.91E-06,NA,NA,NA
OOFNCCCI_00157,1.692095528,205180,206292,1112,3.10E-11,S,NA,DUF5128
OOFNCCCI_00158,3.926414776,206384,206614,230,0.38473967,S,NA,NVEALA
OOFNCCCI_00159,1.442498771,206634,207062,428,6.17E-05,S,NA,DUF3244
OOFNCCCI_00160,1.414576768,207225,209057,1832,4.17E-13,K,NA,"TPR_12,TPR_8"
OOFNCCCI_00161,1.821782376,209249,209527,278,1.60E-10,NA,NA,"AlbA_2,Fic,HATPase_c_4"
OOFNCCCI_00162,0.881828128,209760,210647,887,5.30E-05,S,NA,Fic
OOFNCCCI_00163,0.428413692,210922,213735,2813,0.022411598,S,NA,"Peptidase_M16,Peptidase_M16_C"
OOFNCCCI_00164,0.378968879,214061,215014,953,0.653076181,L,NA,"DEDD_Tnp_IS110,Transposase_20"
OOFNCCCI_00165,0.254934429,215011,215319,308,0.947837164,L,NA,NA
OOFNCCCI_00166,1.049810073,215700,216731,1031,2.74E-06,S,NA,"Fic,Fic_N"
OOFNCCCI_00167,0.614679751,216728,218482,1754,0.000168053,S,NA,NA
OOFNCCCI_00168,0.255645941,218700,221915,3215,0.336065607,P,NA,"CarbopepD_reg_2,Plug,STN,TonB_dep_Rec"
OOFNCCCI_00169,0.331545232,221937,223652,1715,0.226760052,S,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00170,0.233997998,223733,225973,2240,0.35472271,G,NA,"Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C"
OOFNCCCI_00171,0.297335242,225979,227244,1265,0.360568943,G,NA,Cellulase
OOFNCCCI_00172,0.382129699,227249,229486,2237,0.061236859,G,bglB_4,"Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C"
OOFNCCCI_00173,0.065269114,229576,232053,2477,0.831811354,S,NA,"Metallophos,MetallophosN,PQQ_2,PQQ_3"
OOFNCCCI_00174,-0.114420789,232094,232507,413,0.951207835,L,NA,"Exo_endo_phos,Laminin_G_3"
OOFNCCCI_00175,0.691244627,232513,233034,521,0.246195968,L,NA,"Exo_endo_phos,Laminin_G_3"
OOFNCCCI_00176,1.01320924,233195,234982,1787,1.96E-06,S,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00177,0.870325738,235002,238466,3464,1.03E-06,P,NA,"CarbopepD_reg_2,Plug,STN,TonB_dep_Rec"
OOFNCCCI_00178,1.426686951,238590,239672,1082,2.14E-13,PT,NA,"DUF4974,FecR"
OOFNCCCI_00179,1.389096972,239738,240286,548,9.98E-08,K,NA,"Sigma70_r2,Sigma70_r4_2"
OOFNCCCI_00180,0.811115273,240919,241809,890,0.000290591,S,NA,"DUF2179,YitT_membrane"
OOFNCCCI_00181,0.332506256,241983,243125,1142,0.315650624,G,NA,Glyco_hydro_43
OOFNCCCI_00182,0.200404033,243130,244014,884,0.701187382,G,NA,AP_endonuc_2
OOFNCCCI_00183,0.690702892,244066,245274,1208,0.005737335,S,NA,Abhydrolase_7
OOFNCCCI_00184,0.504799798,245473,248589,3116,0.035722694,G,NA,Glyco_hydro_106
OOFNCCCI_00185,0.342672301,248701,251358,2657,0.101891862,G,NA,"Bac_rhamnosid,Bac_rhamnosid6H,Bac_rhamnosid_C,Bac_rhamnosid_N"
OOFNCCCI_00186,0.605382646,251367,254039,2672,0.000384871,G,NA,"Bac_rhamnosid,Bac_rhamnosid6H,Bac_rhamnosid_C,Bac_rhamnosid_N"
OOFNCCCI_00187,1.018587649,254091,256643,2552,8.59E-12,G,NA,"Bac_rhamnosid6H,Bac_rhamnosid_C,Bac_rhamnosid_N"
OOFNCCCI_00188,0.896209352,256735,259635,2900,1.61E-06,G,NA,Glyco_hydro_106
OOFNCCCI_00189,0.567903148,259712,261256,1544,0.008053607,GM,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00190,0.689034923,261270,264323,3053,0.004385707,P,NA,"CarbopepD_reg_2,Plug,STN,TonB_dep_Rec"
OOFNCCCI_00191,0.5838643,264989,268159,3170,0.009588041,S,NA,"DUF5107,TPR_16,TPR_8"
OOFNCCCI_00192,0.430074748,268406,271396,2990,0.038886373,NA,NA,NA
OOFNCCCI_00193,0.861784544,271656,272915,1259,0.000245907,S,NA,DUF4861
OOFNCCCI_00194,0.446804651,272981,274150,1169,0.231619618,S,NA,Glyco_hydro_88
OOFNCCCI_00195,0.883836396,274172,275953,1781,5.84E-06,NA,NA,NA
OOFNCCCI_00196,0.575950003,276036,277532,1496,0.005631131,S,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00197,0.42076136,277548,280685,3137,0.024399099,P,NA,"CarbopepD_reg_2,Plug,STN,TonB_dep_Rec"
OOFNCCCI_00198,0.101795886,280905,282179,1274,0.807872605,E,NA,Lipase_GDSL_2
OOFNCCCI_00199,0.784908656,282182,283900,1718,3.71E-05,G,NA,"Beta-lactamase,Glyco_hydro_3,Glyco_hydro_3_C"
OOFNCCCI_00200,0.542436528,284169,288239,4070,0.001647682,T,NA,"HATPase_c,HTH_18,HisKA,Reg_prop,Response_reg,Y_Y_Y"
OOFNCCCI_00201,0.39590214,288521,290692,2171,0.052876821,P,NA,Beta_helix
OOFNCCCI_00202,0.287823281,290730,292484,1754,0.21174081,NA,NA,NA
OOFNCCCI_00203,0.495295298,292622,295453,2831,0.009453543,S,NA,NPCBM
OOFNCCCI_00204,0.715070713,295546,298005,2459,0.000124915,G,NA,Glyco_hydro_92
OOFNCCCI_00205,0.941793248,298031,298306,275,0.004138087,G,NA,Glyco_hydro_92
OOFNCCCI_00206,0.680677141,298743,300701,1958,7.23E-05,G,NA,"GH97_C,GH97_N,Glyco_hydro_97"
OOFNCCCI_00207,0.533146155,301012,302589,1577,0.00575108,M,NA,"Glyco_hydr_30_2,Glyco_hydro_30C"
OOFNCCCI_00208,0.779348877,302601,304235,1634,8.25E-06,F,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00209,0.958264341,304247,307567,3320,2.99E-07,P,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_00210,1.19213568,307813,308799,986,9.17E-08,PT,NA,"DUF4974,FecR"
OOFNCCCI_00211,1.424251869,308940,309500,560,1.39E-07,K,NA,"Sigma70_r2,Sigma70_r4_2"
OOFNCCCI_00212,1.377129839,309677,310543,866,6.07E-08,NA,NA,NA
OOFNCCCI_00213,0.942713673,311227,312462,1235,1.14E-05,G,NA,BNR_2
OOFNCCCI_00214,0.609379325,312590,313828,1238,0.001911825,G,NA,BNR_2
OOFNCCCI_00215,0.589835306,313878,315575,1697,0.009358936,P,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00216,0.975898105,315581,319015,3434,4.11E-08,P,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_00217,1.002585961,319145,320131,986,5.06E-06,PT,NA,"DUF4974,FecR"
OOFNCCCI_00218,0.992443657,320204,320788,584,0.002673876,K,NA,"Sigma70_r2,Sigma70_r4_2"
OOFNCCCI_00219,0.325152668,320957,321808,851,0.439777031,G,NA,AP_endonuc_2
OOFNCCCI_00220,0.049426849,321825,323339,1514,0.88059526,S,NA,"GFO_IDH_MocA,GFO_IDH_MocA_C,TAT_signal"
OOFNCCCI_00221,0.137741452,323352,324992,1640,0.683930783,S,NA,SusD-like
OOFNCCCI_00222,0.59759331,325023,328439,3416,0.003827031,P,NA,"CarbopepD_reg_2,Plug,STN,TonB_dep_Rec"
OOFNCCCI_00223,1.268293861,328602,329696,1094,1.84E-14,PT,NA,"DUF4974,FecR"
OOFNCCCI_00224,0.568392912,329804,330358,554,0.073283766,K,NA,"Sigma70_r2,Sigma70_r4_2"
OOFNCCCI_00225,0.514482844,330452,331021,569,0.108875714,S,NA,ORF6N
OOFNCCCI_00227,0.097076877,331252,332544,1292,0.753270205,J,tyrS,"S4,tRNA-synt_1b"
OOFNCCCI_00228,0.322791813,332733,332837,104,0.816380438,NA,NA,NA
OOFNCCCI_00229,0.67826794,333056,333382,326,0.30248697,NA,NA,NA
OOFNCCCI_00230,0.774727094,333626,334315,689,0.001005604,L,NA,TatD_DNase
OOFNCCCI_00231,-4.485032324,334400,334621,221,0.460449967,S,yidD,Haemolytic
OOFNCCCI_00232,0.229647216,334621,335007,386,0.961848297,J,rnpA,Ribonuclease_P
OOFNCCCI_00233,-0.675920401,334997,335770,773,0.21236734,H,hemD,HEM4
OOFNCCCI_00234,1.43642319,335761,336483,722,8.68E-06,S,NA,DUF4271
OOFNCCCI_00235,0.613303454,336527,337876,1349,0.045254722,C,lpdA,"Pyr_redox_2,Pyr_redox_dim"
OOFNCCCI_00236,1.809325768,337887,338273,386,0.592471773,NA,NA,NA
OOFNCCCI_00237,1.6782115,338270,338692,422,0.322193083,S,NA,bPH_4
OOFNCCCI_00238,1.901485512,338694,339077,383,1.03E-09,NA,NA,NA
OOFNCCCI_00239,1.207283345,339885,341342,1457,5.91E-07,M,NA,Beta_helix
OOFNCCCI_00240,0.435727951,341433,343073,1640,0.059248517,F,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00241,0.683530076,343085,345847,2762,0.001018443,P,NA,"Plug,TonB_dep_Rec"
OOFNCCCI_00242,0.33592779,345876,347636,1760,0.112045486,F,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00243,0.629269727,347650,350859,3209,0.010348383,H,NA,"CarbopepD_reg_2,Plug"
OOFNCCCI_00244,0.956492208,351184,355128,3944,4.85E-06,T,NA,"HATPase_c,HTH_18,HisKA,Reg_prop,Response_reg,Y_Y_Y"
OOFNCCCI_00245,0.825356121,355217,355912,695,0.004370003,NA,NA,NA
OOFNCCCI_00246,0.111155795,356116,357690,1574,0.621847795,H,nadB,"FAD_binding_2,Succ_DH_flav_C"
OOFNCCCI_00247,0.998823504,357822,358763,941,5.38E-06,PT,NA,"DUF4974,FecR"
OOFNCCCI_00248,1.002558603,358902,362294,3392,3.09E-08,H,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_00249,0.730933575,362308,363918,1610,0.000477364,F,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00250,0.787795598,363928,366270,2342,0.000300612,G,NA,Glyco_hydro_106
OOFNCCCI_00251,1.126483057,366430,367278,848,0.000817323,E,NA,Lipase_GDSL_2
OOFNCCCI_00252,0.273481842,367316,370597,3281,0.272322397,G,NA,"Glyco_hydro_106,Glyco_hydro_2_N"
OOFNCCCI_00253,0.450390064,370612,372639,2027,0.014376091,S,NA,Glyco_hydro_127
OOFNCCCI_00254,0.745983662,372704,373252,548,0.217844639,K,NA,"Sigma70_r2,Sigma70_r4_2"
OOFNCCCI_00255,0.740892872,373545,377588,4043,0.000208492,T,NA,"HATPase_c,HTH_18,HisKA,Reg_prop,Response_reg,Y_Y_Y"
OOFNCCCI_00256,0.389289846,377872,381108,3236,0.07290183,P,NA,"CarbopepD_reg_2,Plug,TonB_dep_Rec"
OOFNCCCI_00257,3.876952871,381215,382168,953,0.5089379,L,NA,"DEDD_Tnp_IS110,Transposase_20"
OOFNCCCI_00259,0.392739348,382761,384668,1907,0.127913796,S,NA,"SusD-like_3,SusD_RagB"
OOFNCCCI_00260,0.67654241,384848,386302,1454,0.002895757,P,NA,Sulfatase
OOFNCCCI_00261,0.532626553,386314,387711,1397,0.041281663,G,NA,"Alpha_L_fucos,CHB_HEX_C_1,F5_F8_type_C"
OOFNCCCI_00262,0.193590072,387708,389786,2078,0.426142301,G,NA,Raffinose_syn
OOFNCCCI_00263,0.373674422,389805,391346,1541,0.269779501,P,NA,"DUF4976,Sulfatase"
OOFNCCCI_00264,3.084176021,391417,391611,194,NA,NA,NA,NA
OOFNCCCI_00265,8.429388478,391673,391783,110,0.049921437,NA,NA,NA
OOFNCCCI_00266,0.644107756,391852,392565,713,0.112328759,NA,NA,NA
OOFNCCCI_00267,0.493445778,392632,395388,2756,0.033245328,V,NA,"ABC_tran,ACR_tran"
OOFNCCCI_00268,0.100007902,395346,397337,1991,0.770126716,V,NA,"ABC_tran,ACR_tran"
OOFNCCCI_00269,0.554069382,397600,400758,3158,0.006462976,V,NA,ACR_tran
OOFNCCCI_00270,0.997742092,400942,402003,1061,5.91E-06,M,NA,"HlyD_D23,OEP"
OOFNCCCI_00271,-0.119180121,402010,403506,1496,0.729017974,MU,NA,OEP
